gr_bin,ri_bin,class,count
0.55,0.85,GALAXY,81
2.65,1.0,GALAXY,27
0.7,0.65,GALAXY,73
1.5,1.25,STAR,102
-0.25,0.3,QSO,27
1.8,1.3,GALAXY,151
1.45,0.45,GALAXY,91
0.05,0.3,GALAXY,30
0.6,0.05,QSO,68
2.1,1.2,GALAXY,168
0.85,0.9,GALAXY,71
0.55,0.1,STAR,155
1.7,0.95,STAR,26
0.5,0.05,GALAXY,48
0.1,-0.1,STAR,127
0.4,-0.15,STAR,23
2.0,1.45,GALAXY,29
2.8,1.15,GALAXY,28
1.5,1.25,GALAXY,208
1.55,1.35,STAR,55
0.75,0.9,GALAXY,60
1.4,1.55,GALAXY,22
1.55,1.5,GALAXY,33
1.9,1.3,GALAXY,113
0.0,-0.05,QSO,262
0.2,-0.1,STAR,83
1.2,1.2,GALAXY,96
1.65,1.15,STAR,54
0.8,0.6,QSO,23
2.0,1.2,GALAXY,189
1.5,1.5,STAR,52
1.6,1.6,STAR,29
0.8,0.95,GALAXY,72
1.7,1.1,STAR,32
0.25,-0.05,STAR,145
0.25,0.25,GALAXY,141
2.2,1.4,GALAXY,37
0.0,0.5,QSO,62
-0.15,0.55,QSO,29
0.05,0.05,STAR,181
1.8,1.5,GALAXY,24
2.15,1.4,GALAXY,29
2.2,1.0,GALAXY,88
0.75,0.55,QSO,33
0.85,1.15,GALAXY,37
1.65,1.1,STAR,52
0.6,-0.15,QSO,33
1.2,0.4,GALAXY,147
0.9,0.85,GALAXY,117
0.25,0.75,GALAXY,28
0.7,0.95,GALAXY,52
-0.1,-0.1,STAR,115
0.75,0.6,GALAXY,70
0.3,0.6,QSO,35
0.35,0.85,GALAXY,37
2.8,1.3,GALAXY,27
-0.05,0.15,STAR,31
2.75,1.3,GALAXY,34
-0.15,0.25,QSO,102
0.35,0.4,GALAXY,89
0.85,0.7,GALAXY,83
-0.15,-0.2,STAR,76
0.2,0.7,GALAXY,21
0.6,0.05,GALAXY,40
0.3,0.5,GALAXY,56
1.15,1.4,GALAXY,32
0.2,-0.2,STAR,28
0.75,0.3,QSO,44
1.55,1.05,STAR,89
-0.2,0.0,QSO,33
2.2,0.9,GALAXY,48
0.15,0.95,GALAXY,21
2.4,1.25,GALAXY,65
1.75,1.35,STAR,24
1.3,0.9,STAR,37
2.75,1.2,GALAXY,39
1.2,1.35,GALAXY,53
-0.15,0.4,QSO,83
0.6,1.1,GALAXY,28
1.45,0.55,STAR,49
0.1,0.6,QSO,28
0.35,1.1,GALAXY,27
0.4,1.1,GALAXY,29
0.3,0.0,GALAXY,45
0.9,0.45,QSO,36
1.25,1.35,STAR,21
1.25,0.4,STAR,45
1.45,1.5,GALAXY,29
0.2,0.2,GALAXY,82
1.65,1.3,STAR,34
0.25,0.4,GALAXY,40
1.0,1.3,GALAXY,21
1.6,0.9,STAR,36
1.25,0.9,STAR,25
1.55,1.65,STAR,25
0.7,0.0,GALAXY,30
0.3,1.0,GALAXY,23
-0.4,-0.3,STAR,44
-0.2,-0.15,STAR,89
0.9,1.25,GALAXY,26
2.8,1.25,GALAXY,32
1.55,0.65,STAR,21
-0.05,0.2,STAR,23
1.75,1.15,GALAXY,437
0.1,-0.05,QSO,454
1.8,0.65,GALAXY,1120
1.6,0.85,GALAXY,760
1.65,1.05,GALAXY,707
2.45,1.1,GALAXY,57
0.5,0.25,STAR,750
0.35,0.35,STAR,31
0.0,0.3,QSO,393
1.5,1.05,STAR,106
0.55,0.15,STAR,742
1.45,0.85,GALAXY,462
0.25,0.15,QSO,635
0.65,0.3,STAR,577
0.45,0.0,QSO,238
0.85,0.45,STAR,63
0.65,0.2,STAR,565
1.85,1.05,GALAXY,515
1.2,0.55,GALAXY,452
1.9,0.7,GALAXY,463
1.45,1.35,GALAXY,103
2.05,1.1,GALAXY,234
0.6,0.1,GALAXY,68
1.55,0.6,GALAXY,773
1.9,0.65,GALAXY,590
1.3,1.05,GALAXY,217
1.55,0.55,GALAXY,717
1.4,0.95,GALAXY,345
0.6,0.2,STAR,1175
0.9,0.4,GALAXY,1887
1.85,0.75,GALAXY,575
1.5,0.95,GALAXY,526
0.2,0.3,GALAXY,86
1.45,1.25,GALAXY,195
1.8,0.8,GALAXY,713
1.45,1.15,GALAXY,289
1.45,0.65,GALAXY,199
0.1,0.3,STAR,26
1.7,1.0,GALAXY,746
0.05,0.0,STAR,282
1.3,0.55,GALAXY,551
1.35,1.0,GALAXY,256
0.65,1.1,GALAXY,39
0.35,0.5,QSO,75
0.1,0.25,QSO,595
1.6,1.45,GALAXY,49
1.45,0.7,GALAXY,151
0.05,-0.05,QSO,400
0.05,0.2,QSO,686
2.05,1.3,GALAXY,98
0.1,-0.2,STAR,35
0.1,0.15,STAR,127
0.4,1.0,GALAXY,38
1.5,1.45,STAR,59
1.15,1.25,GALAXY,55
0.35,0.25,QSO,285
0.95,0.5,GALAXY,1030
0.65,0.35,STAR,195
1.35,1.0,STAR,68
1.8,1.1,GALAXY,547
1.95,1.25,GALAXY,191
1.0,0.45,GALAXY,2023
0.95,0.35,GALAXY,325
0.65,1.05,GALAXY,44
0.45,0.45,GALAXY,95
0.7,0.25,STAR,757
1.75,1.45,GALAXY,48
0.85,1.05,GALAXY,66
1.15,0.85,GALAXY,178
0.55,1.0,GALAXY,47
0.95,0.9,GALAXY,119
1.6,1.35,STAR,49
1.35,0.75,GALAXY,225
2.45,1.3,GALAXY,35
0.9,0.4,STAR,196
0.5,0.1,QSO,214
0.4,0.6,GALAXY,72
0.15,-0.05,STAR,178
1.4,1.05,GALAXY,357
0.65,0.1,STAR,76
2.0,1.15,GALAXY,260
0.75,0.15,QSO,40
-0.05,0.35,QSO,210
1.75,0.6,GALAXY,912
2.5,1.15,GALAXY,62
0.4,0.1,GALAXY,65
0.65,0.9,GALAXY,70
1.8,1.15,GALAXY,460
0.5,0.25,QSO,136
0.25,-0.2,GALAXY,22
1.75,1.25,STAR,23
0.6,0.85,GALAXY,79
2.15,0.9,GALAXY,77
0.25,-0.3,QSO,30
0.4,0.15,QSO,377
0.75,0.7,GALAXY,88
-0.1,0.25,QSO,207
0.65,0.55,GALAXY,88
0.1,0.05,QSO,740
1.55,0.45,GALAXY,44
1.25,0.9,GALAXY,190
-0.15,0.1,QSO,99
0.6,0.1,QSO,119
1.5,1.55,STAR,41
0.95,1.0,GALAXY,82
0.9,0.3,STAR,282
0.5,0.8,GALAXY,68
-0.1,0.3,QSO,195
1.35,0.7,GALAXY,105
1.55,1.3,STAR,71
0.4,0.5,QSO,54
0.75,0.4,QSO,53
0.5,0.25,GALAXY,449
1.05,0.4,STAR,273
2.1,0.85,GALAXY,100
0.55,0.25,QSO,108
1.2,0.45,STAR,186
0.45,1.0,GALAXY,45
0.2,-0.1,QSO,344
1.6,1.5,GALAXY,29
1.45,1.4,STAR,66
1.25,0.6,GALAXY,205
1.65,1.3,GALAXY,154
1.55,1.2,GALAXY,319
0.05,0.1,STAR,128
1.95,1.3,GALAXY,112
1.0,0.35,GALAXY,198
1.15,1.35,GALAXY,40
0.3,0.3,GALAXY,130
1.7,1.2,GALAXY,336
1.05,1.2,GALAXY,59
1.6,0.45,GALAXY,38
0.7,1.05,GALAXY,56
1.55,0.95,STAR,72
2.25,1.1,GALAXY,93
1.3,0.9,GALAXY,273
-0.15,-0.05,QSO,34
0.35,0.15,GALAXY,188
0.45,0.15,GALAXY,123
0.8,0.9,GALAXY,64
0.55,0.0,STAR,50
0.7,0.15,QSO,49
1.25,0.85,GALAXY,238
0.35,0.3,GALAXY,282
0.6,0.3,QSO,61
0.3,0.6,GALAXY,46
0.8,0.75,GALAXY,112
0.05,0.15,STAR,84
1.4,0.65,GALAXY,125
0.6,1.0,GALAXY,63
0.95,0.2,GALAXY,24
0.45,0.85,GALAXY,55
2.4,1.3,GALAXY,58
2.6,1.0,GALAXY,27
1.65,1.35,STAR,35
0.0,-0.05,STAR,251
1.25,0.5,STAR,141
0.15,0.3,GALAXY,35
0.4,0.5,GALAXY,72
0.15,-0.2,QSO,105
0.15,0.0,STAR,331
0.75,0.6,QSO,26
1.85,1.25,GALAXY,209
1.5,0.9,STAR,116
0.55,0.2,QSO,135
0.7,1.0,GALAXY,48
2.2,0.95,GALAXY,75
0.5,0.2,GALAXY,188
0.7,0.15,STAR,77
0.0,0.45,QSO,108
2.2,1.15,GALAXY,142
1.5,0.7,GALAXY,180
0.9,1.0,GALAXY,81
2.9,1.05,GALAXY,21
1.65,1.5,STAR,30
2.3,0.95,GALAXY,38
0.55,0.0,GALAXY,34
1.0,1.1,GALAXY,67
1.75,1.35,GALAXY,102
0.8,1.2,GALAXY,28
0.65,0.2,GALAXY,79
1.3,0.85,STAR,26
